,W,W,W,W,W,,,,,,,,,,,,,W,,
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,
W,,T,,B,,,,,,,,,,T,,,P,W,,
E,,,,,,,,,,,,,,T,,,P,W,,
W,,P,W,W,,,,P,,,,,T,T,,,,W,,
W,,,,,,,,,,,W,W,W,W,H,,,W,,
W,,,,,H,,,,,,,,,W,,,,W,W,W
W,,,,,,,W,W,,,,,,W,,,H,F,W,W
W,,,,,,T,W,,,,,W,H,W,,,,,,W
W,W,W,W,W,W,W,W,,,,,W,,W,,,,,,W
W,,,,F,,,,,,,,W,,W,T,,,,,W
W,,,,,,H,,,,W,W,W,,W,W,W,W,P,,W
W,T,,P,,,,,,,W,F,,T,,,,,,,W
W,,,,H,,,,,,,,,,,,,,,,W
W,,,W,W,W,W,,,,,,,,,,,,H,,W
W,,,,,,W,W,W,W,W,,,,W,W,W,W,W,W,W
W,,P,,,H,W,T,,,,,,,W,,,,,,
W,,,,,,W,,,,,,,,W,,,,,,
W,W,W,F,F,W,W,,,,W,W,H,,W,,,,,,
W,,,,,,,,,,W,W,W,W,W,,,,,,
W,,,,,,,,,W,W,,,,,,,,,,
W,W,,,,,,,W,W,,,,,,,,,,,
W,W,,,,,,,W,,,,,,,,,,,,
,W,,,,,,,W,,,,,,,,,,,,
,W,,H,,,,,W,,,,,,,,,,,,
,W,,,,,,,W,,,,,,,,,,,,
,W,,,,,,,W,W,W,W,,,,,,,,,
,W,W,W,W,,,,,,,W,,,,,,,,,
,W,,,,,,,,,,W,,,,,,,,,
,W,,,,,,H,,,,W,,,,,,,,,
,W,H,,,,,,,,,W,,,,,,,,,
,W,,,,,,,,,,W,,,,,,,,,
W,W,,,,W,W,W,W,W,W,W,,,,,,,,,
W,,,,,,,,,,,W,,,,,,,,,
W,,,,,,,,,,,W,,,,,,,,,
W,,,,,,,,,,,W,,,,,,,,,
W,,,,,S,,,,,,W,,,,,,,,,
W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,
