,,,,,,,,,,,,,W,W,W,W,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,,W,W,W,W,W,W,,
,,,,,,,,,,,,,W,W,X,X,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,,W,W,,,W,W,,
,,,,,,,,,,,,W,W,W,,P,W,W,,
W,W,W,W,W,W,W,W,W,W,W,W,W,T,W,,,W,W,W,W
W,F,,,,,W,,T,,,,,,W,,,,,,W
W,,,,,,,,,,B,,P,,,B,,,,,W
W,,,,,,P,,,,,,W,,,,,W,,,W
W,,,,,,W,,T,,,,W,,,,,W,,,W
W,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,,,,,,,,,F,,,,,,,,,,,W
W,,,,,,,,,,,,,,,,,,,,W
W,H,,,,,,,,,,,,,,,,,,H,W
W,W,W,W,W,W,W,W,W,,,,W,W,W,W,W,W,W,W,W
W,W,,,W,W,W,W,W,,,,W,W,W,W,W,W,W,W,W
W,,,,,,,T,W,H,,,,,,,H,,,W,W
W,,,,,,,,W,,,,,,,,,,,W,W
W,,,W,W,W,,,W,,,,W,W,W,,,S,,W,W
W,H,,W,W,W,,,W,,H,,W,,W,,H,,,W,W
W,,,,W,,,,W,,,,W,,W,,,,,W,W
W,,,,W,,,,W,,,,W,,W,,,,,W,W
W,,,,W,W,,,W,W,W,W,W,W,W,,,,,W,W
W,,,W,W,W,,,,,,,,,,,,H,,W,W
W,,,W,,W,T,,,,,,,,,,,,,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
